Card name,Official URL ,Card Issuer,Status,,,,,,,,,,,,,,,,,,,,,,
,,issuer (enum),status,"network (enum: Visa, Mastercard, Rupay, Amex etc)",is_lifetime_free (bool),annual_fee (numeric),"fee_waiver_spend_threshold (numeric, optional)",is_upi_enabled (bool),is_cashback_primary (bool),is_rewards_points_primary (bool),has_dining_benefit (bool),has_travel_benefit (bool),has_fuel_benefit (bool),has_online_shopping_benefit (bool),has_entertainment_benefit (bool),has_groceries_benefit (bool),has_domestic_lounge (bool),has_international_lounge (bool),"co_brand_name (text, for display)","co_brand_type (enum: ecommerce, airline, hotel, food delivery etc)",cashback_generic_rate,cashback_top_category_rate,rewards_generic_multiplier,rewards_top_category_multiplier,(Available/Discontinued/Questionable) 
ICSI DIAMOND BOBCARD,https://www.bobcard.co.in/credit-card-types/icsi-diamond,Bank of Baroda,Active,,,,,,,,,,,,,,,,,,,,,,
BOBCARD PREMIER,https://www.bobcard.co.in/credit-card-types/premier,Bank of Baroda,Active,,,,,,,,,,,,,,,,,,,,,,
BOBCARD SELECT,https://www.bobcard.co.in/credit-card-types/select,Bank of Baroda,Active,,,,,,,,,,,,,,,,,,,,,,
BOBCARD CORPORATE,https://www.bobcard.co.in/credit-card-types/corporate,Bank of Baroda,Active,,,,,,,,,,,,,,,,,,,,,,
BOBCARD TIARA,https://bobcard.io/TIARA_BoB_KnowMore,Bank of Baroda,Active,,,,,,,,,,,,,,,,,,,,,,
BOBCARD PRIME,https://www.bobcard.co.in/credit-card-types/prime,Bank of Baroda,Active,,,,,,,,,,,,,,,,,,,,,,
BOBCARD EMPOWER,https://www.bobcard.co.in/credit-card-types/empower,Bank of Baroda,Active,,,,,,,,,,,,,,,,,,,,,,
Visa Signature Credit Card,https://canarabank.bank.in/pages/Visa-Signature-Credit-Card,Canara Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Rupay Select Credit Card,https://canarabank.bank.in/pages/Rupay-Select-Credit-Card,Canara Bank,Active,,,,,,,,,,,,,,,,,,,,,,
MasterCard World Credit Card,https://canarabank.bank.in/pages/MasterCard-World-Credit-Card,Canara Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Visa Platinum Credit Card,https://canarabank.bank.in/pages/Visa-platinum-credit-card,Canara Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Rupay Select Secured Credit Card,https://canarabank.bank.in/pages/Rupay-Select-Secured-Credit-Card,Canara Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Mastercard Platinum Credit Card,https://canarabank.bank.in/pages/Mastercard-platinum-credit-card,Canara Bank,Active,,,,,,,,,,,,,,,,,,,,,,
VISA Corporate Credit Card,https://canarabank.bank.in/pages/VISA-Corporate-Credit-Card,Canara Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Rupay Platinum Credit Card,https://canarabank.bank.in/pages/Rupay-Platinum-Credit-Card,Canara Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Mastercard Gold Credit Card,https://canarabank.bank.in/pages/mastercard-gold-credit-card,Canara Bank,Active,,,,,,,,,,,,,,,,,,,,,,
VISA Gold Credit Card,https://canarabank.bank.in/pages/VISA-Gold-Credit-Card,Canara Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Rupay Platinum Secured Credit Card,https://canarabank.bank.in/pages/Rupay-Platinum-Secured-Credit-Card,Canara Bank,Active,,,,,,,,,,,,,,,,,,,,,,
